border_id,bdr_ctr_1_a3,bdr_ctr_2_a3
32,IRQ,SYR
363,ISR,SYR
80,JOR,SYR
466,TUR,SYR
445,LBN,SYR 
279,BDI,TAZ
57,COD,TAZ
441,KEN,TAZ
319,RWA,TAZ
409,UGA,TAZ
179,ZMB,TAZ
190,MWI,TAZ  
218,MOZ,TAZ     
263,CAF,TCD
540,CMR,TCD
7,LBY,TCD
200,NGA,TCD
659,NIR,TCD
350,SDN,TCD
235,BEN,TGO
133,BFA,TGO
51,GHA,TGO
558,KHM,THA
156,LAO,THA
106,MMR,THA
224,MYS,THA
295,AFG,TJK
139,CHN,TJK
108,KGZ,TJK
573,UZB,TJK
294,AFG,TKM
624,IRN,TKM
494,KAZ,TKM
572,UZB,TKM
333,IDN,TLS
439,VEN,TRI
456,DZA,TUN
9,LBY,TUN
667,ARM,TUR
426,AZE,TUR
287,BGR,TUR
568,CYP,TUR
308,GEO,TUR
313,GRC,TUR
620,IRN,TUR
31,IRQ,TUR
205,SYR,TUR    
144,CHN,TWN
56,COD,UGA
318,RWA,UGA
352,SDN,UGA
632,TAZ,UGA
440,KEN,UGA    
399,IRL,UKG
413,FRA,UKG        
303,BLR,UKR
273,HUN,UKR
594,MDA,UKR
585,POL,UKR
451,ROU,UKR
547,RUS,UKR
617,SVK,UKR
651,ARG,URU
508,BRA,URU
510,CAN,USA
542,RUS,USA
498,MEX,USA  
296,AFG,UZB
496,KAZ,UZB
109,KGZ,UZB
489,TJK,UZB
276,TKM,UZB
687,ITA,VAT
502,BRA,VEN
290,TRI,VEN
249,GUY,VEN  
385,COL,VEN    
151,CHN,VNM
685,CHN,VNM
560,KHM,VNM
158,LAO,VNM
166,DJI,YEM
579,ERI,YEM
135,OMN,YEM
119,SAU,YEM
23,BWA,ZAF
486,LSO,ZAF
222,MOZ,ZAF
38,NAM,ZAF
521,SWA,ZAF
170,ZWE,ZAF
323,AGO,ZMB
21,BWA,ZMB
61,COD,ZMB
219,MOZ,ZMB
192,MWI,ZMB
37,NAM,ZMB
637,TAZ,ZMB
169,ZWE,ZMB
22,BWA,ZWE
220,MOZ,ZWE
373,ZAF,ZWE
182,ZMB,ZWE
